location,variable,label,manual_n,wiggle_n,manual_mean,wiggle_mean,manual_median,wiggle_median,manual_std,wiggle_std,mean_diff_wiggle_minus_manual,median_diff_wiggle_minus_manual,cohens_d_wiggle_vs_manual,cliffs_delta_wiggle_vs_manual,auc_wiggle_gt_manual,mannwhitney_pvalue,ks_pvalue,mannwhitney_qvalue,abs_cliffs_delta,abs_cohens_d
America,D_max_mean_prev_48h,"Mean max divergence
previous 48 h",9,7,0.03954737810145477,0.036654891382410584,0.0404412880858938,0.0436371613672462,0.012318464836689129,0.01357958497004687,-0.002892486719044185,0.0031958732813524016,-0.2246752038718362,-0.12698412698412698,0.4365079365079365,0.7108222565571276,0.7136363636363634,0.7655008916769066,0.12698412698412698,0.2246752038718362
America,La_t_mean_prev_48h,"Mean turbulent
Langmuir number",9,7,0.36989734483620107,0.37177282254934463,0.3755072484299591,0.365293181362474,0.022371747468993466,0.02218619731808107,0.0018754777131435585,-0.010214067067485066,0.08413075504093717,0.06349206349206349,0.5317460317460317,0.8737526134323633,0.9552447552447553,0.8737526134323633,0.06349206349206349,0.08413075504093717
China,wind_steadiness_prev_48h,"Wind steadiness
previous 48 h",5,25,0.9025574791423849,0.8239460736549389,0.9677000848825226,0.8678742607216684,0.1290953735814348,0.165798705225219,-0.07861140548744605,-0.09982582416085417,-0.48806268797051305,-0.456,0.272,0.11861936819927167,0.24230558713317332,0.7948422344182267,0.456,0.48806268797051305
China,turning_mean_prev_48h_deg,"Mean turning
previous 48 h (deg/h)",5,25,7.5836734693877546,8.635102040816326,5.448979591836735,7.714285714285714,6.177028827130026,4.598907330281208,1.0514285714285716,2.2653061224489797,0.21652794591062485,0.36,0.68,0.22007882999913864,0.16894727239554827,0.7948422344182267,0.36,0.21652794591062485
China,turning_total_prev_48h_deg,"Total turning
previous 48 h (deg)",5,25,371.6,423.12,267.0,378.0,302.67441252937124,225.3464591837792,51.51999999999998,111.0,0.21652794591062477,0.36,0.68,0.22007882999913864,0.16894727239554827,0.7948422344182267,0.36,0.21652794591062477
China,coherence_mean_prev_48h,"Coherence mean
previous 48 h",5,25,0.9880188761258782,0.9842309551155524,0.9955443553848315,0.990829985591803,0.01833359231358714,0.016687365668752646,-0.0037879210103258787,-0.004714369793028528,-0.2237092078721559,-0.328,0.336,0.26497444571196416,0.3326175739968843,0.7948422344182267,0.328,0.2237092078721559
China,La_t_mean_prev_48h,"Mean turbulent
Langmuir number",5,25,0.35978878710740136,0.3656211446904378,0.3444536864651558,0.3545967171673473,0.03170722190467231,0.028462139312295357,0.005832357583036463,0.010143030702191524,0.2014770266486162,0.264,0.632,0.3725170281957161,0.45422648870924737,0.7948422344182267,0.264,0.2014770266486162
China,wind_std_prev_48h,"Wind variability
previous 48 h (m/s)",5,25,0.8347517491460126,0.9102595885914526,0.5931402794925181,0.881637892873066,0.3400181197997521,0.29386449935311904,0.07550783944544004,0.2884976133805479,0.2509469637156288,0.216,0.608,0.46872083518637975,0.24230558713317332,0.7948422344182267,0.216,0.2509469637156288
China,integrated_supercriticality_prev_48h,"Integrated supercriticality
previous 48 h",5,25,16.522069379930507,16.861722867582515,15.720034155199633,16.530832741465446,1.6808741900734199,1.3412121738667497,0.33965348765200787,0.8107985862658129,0.24351260107564604,0.216,0.608,0.46872083518637975,0.45422648870924737,0.7948422344182267,0.216,0.24351260107564604
China,wind_mean_prev_48h,"Mean wind
previous 48 h (m/s)",5,25,3.2128979591836733,3.140693877551021,3.626530612244898,3.14061224489796,0.880518634322648,0.8277844063900011,-0.07220408163265235,-0.48591836734693805,-0.08641796422662774,-0.104,0.448,0.738067789102639,0.7347480106100795,0.7948422344182267,0.104,0.08641796422662774
